_index,population
87194ac00ffffff,20981.016883176293
87194ac01ffffff,20807.055017566665
87194ac02ffffff,11696.987362490581
87194ac03ffffff,16885.25833684884
87194ac04ffffff,21207.271284677743
87194ac05ffffff,20963.105482555475
87194ac06ffffff,21929.957568826285
87194ac0cffffff,182.95043083759876
87194ac0effffff,6514.724803047421
87194ac10ffffff,12176.526087352891
87194ac12ffffff,0.0
87194ac13ffffff,0.0
87194ac14ffffff,22198.954673742508
87194ac15ffffff,14757.262484804716
87194ac16ffffff,3594.076735638417
87194ac1cffffff,25.515573476280125
87194ac20ffffff,20946.660015222336
87194ac21ffffff,20946.0474510003
87194ac22ffffff,20970.74185553542
87194ac23ffffff,20954.88432023031
87194ac24ffffff,20938.432579310596
87194ac25ffffff,20937.826146052586
87194ac26ffffff,20947.265736093315
87194ac28ffffff,0.0
87194ac2affffff,3869.7192319359438
87194ac2cffffff,2327.9894403892845
87194ac2dffffff,0.0
87194ac2effffff,18174.073786561883
87194ac30ffffff,22311.722349284155
87194ac31ffffff,22167.761889782854
87194ac32ffffff,22397.9643919554
87194ac33ffffff,22189.598766632742
87194ac34ffffff,26171.689124305143
87194ac35ffffff,21504.575684445248
87194ac36ffffff,25933.63154159992
87194ac84ffffff,1012.6155981516326
87194ac85ffffff,85.18573368055632
87194aca0ffffff,14444.189553119473
87194aca2ffffff,6132.386660533402
87194aca3ffffff,11026.087272547986
87194aca4ffffff,18438.387935704766
87194aca5ffffff,0.0
87194aca6ffffff,6765.353289915861
87194ad00ffffff,44948.87855965398
87194ad01ffffff,39585.86152681462
87194ad02ffffff,49664.432336292026
87194ad03ffffff,42795.7203983167
87194ad04ffffff,39024.9069044819
87194ad05ffffff,39327.02677325353
87194ad06ffffff,49261.42957469286
87194ad08ffffff,10208.228297307534
87194ad09ffffff,10177.561856816521
87194ad0affffff,12223.126498652211
87194ad0bffffff,12897.474259636283
87194ad0cffffff,35286.23221219586
87194ad0dffffff,10173.560774624919
87194ad0effffff,21441.579692219366
87194ad10ffffff,50278.69033373315
87194ad11ffffff,54580.64179780953
87194ad12ffffff,40099.03333462181
87194ad13ffffff,50523.68104886824
87194ad14ffffff,44251.169888139266
87194ad15ffffff,52461.13868064147
87194ad16ffffff,44589.94281717074
87194ad18ffffff,31821.071478981317
87194ad19ffffff,20699.919676359754
87194ad1affffff,42614.37004319061
87194ad1bffffff,21368.4423197332
87194ad1cffffff,52209.140224427276
87194ad1dffffff,23701.477318385827
87194ad1effffff,54289.80294181621
87194ad20ffffff,23185.669586655098
87194ad21ffffff,28255.43698044277
87194ad22ffffff,51575.27023834308
87194ad23ffffff,29337.10422348765
87194ad24ffffff,44235.940309419966
87194ad25ffffff,29427.308631046715
87194ad26ffffff,67689.80533689927
87194ad28ffffff,24645.101486672203
87194ad29ffffff,16410.499112177306
87194ad2affffff,39554.11727375119
87194ad2bffffff,21906.75176765456
87194ad2cffffff,28235.904976093836
87194ad2dffffff,27772.14599243885
87194ad2effffff,32548.147358708287
87194ad30ffffff,41966.37758737509
87194ad31ffffff,45731.5566164526
87194ad32ffffff,33765.95740174995
87194ad33ffffff,49400.79292325234
87194ad34ffffff,67600.20328221036
87194ad35ffffff,63982.33413009436
87194ad36ffffff,64110.308437488166
87194ad40ffffff,9979.741913386133
87194ad41ffffff,125.9807082393012
87194ad42ffffff,10176.664763426426
87194ad43ffffff,6482.294982694616
87194ad44ffffff,10168.379230654078
87194ad45ffffff,2252.5036550067375
87194ad46ffffff,10172.672613564648
87194ad4effffff,38.21870916246062
87194ad50ffffff,10344.97803488374
87194ad51ffffff,10180.960724874489
87194ad52ffffff,20791.75971989321
87194ad53ffffff,9312.490561317758
87194ad54ffffff,10177.266147425109
87194ad55ffffff,10176.967116118045
87194ad56ffffff,11239.9781613082
87194ad58ffffff,2888.7198577399467
87194ad59ffffff,9.997230605667914
87194ad5affffff,1596.1406201706545
87194ad5cffffff,10180.655389187761
87194ad5dffffff,7826.955828737793
87194ad5effffff,8891.825999223267
87194ad60ffffff,4634.08299600365
87194ad62ffffff,10164.38702381283
87194ad63ffffff,6283.461949122438
87194ad64ffffff,2080.2970410734397
87194ad66ffffff,10160.393306399594
87194ad70ffffff,10168.975342983063
87194ad71ffffff,10168.678945358773
87194ad72ffffff,10173.268040776384
87194ad73ffffff,10172.97198692524
87194ad74ffffff,10164.977190009507
87194ad75ffffff,10164.68376449921
87194ad76ffffff,10169.268423009611
87194ad80ffffff,15800.848305038753
87194ad81ffffff,24366.56464958393
87194ad82ffffff,14978.905742992054
87194ad83ffffff,17620.005437491513
87194ad84ffffff,19830.357788863275
87194ad85ffffff,37636.988207954695
87194ad86ffffff,15752.96538495711
87194ad88ffffff,23119.387379820284
87194ad89ffffff,22682.966456401853
87194ad8affffff,20947.94381976415
87194ad8bffffff,9022.051466117086
87194ad8cffffff,26448.934939044473
87194ad8dffffff,26322.453646075817
87194ad8effffff,20939.7064364229
87194ad90ffffff,21971.40126467702
87194ad91ffffff,15275.94129368935
87194ad92ffffff,23900.93885633018
87194ad93ffffff,17716.208085948463
87194ad94ffffff,23935.56291841122
87194ad95ffffff,19542.411400392535
87194ad96ffffff,23945.645510622417
87194ad98ffffff,15293.761310106756
87194ad99ffffff,15567.32458766942
87194ad9affffff,5250.539025402047
87194ad9bffffff,655.5774374972841
87194ad9cffffff,16326.83316626773
87194ad9dffffff,20339.028173859126
87194ad9effffff,15820.39665407505
87194ada0ffffff,45310.22332610139
87194ada1ffffff,43964.03361807742
87194ada2ffffff,21841.53230788595
87194ada3ffffff,30872.709013391774
87194ada4ffffff,54149.41811726503
87194ada5ffffff,53911.76879998461
87194ada6ffffff,47778.20823659088
87194ada8ffffff,35288.26807424098
87194ada9ffffff,29386.746133326757
87194adaaffffff,29351.538587350566
87194adabffffff,26541.198919556497
87194adacffffff,44318.080860028436
87194adadffffff,44321.89966670136
87194adaeffffff,44336.754693150775
87194adb0ffffff,29190.02646025374
87194adb1ffffff,18763.279435070475
87194adb2ffffff,28843.26989274574
87194adb3ffffff,22447.881453451846
87194adb4ffffff,30724.133613422186
87194adb5ffffff,29587.05714566151
87194adb6ffffff,30673.740403582615
87194e600ffffff,7013.096328703812
87194e601ffffff,4208.345956177079
87194e602ffffff,10737.545248574706
87194e603ffffff,10737.264874684199
87194e604ffffff,24.115127165279077
87194e606ffffff,7665.93373771053
87194e608ffffff,10736.693644403424
87194e609ffffff,564.4831283936487
87194e60affffff,10741.230741437392
87194e60bffffff,3338.2608764597303
87194e60cffffff,4910.596820678246
87194e60dffffff,6774.584235001196
87194e60effffff,10736.981006453003
87194e610ffffff,9324.463612457734
87194e611ffffff,10742.081201699944
87194e612ffffff,17671.84701354179
87194e613ffffff,11959.590257781587
87194e614ffffff,177.04905309169905
87194e615ffffff,9890.197094511643
87194e616ffffff,81.38892383397878
87194e618ffffff,10746.055636253144
87194e619ffffff,10745.769032476315
87194e61affffff,21438.154223241152
87194e61bffffff,13681.70308270767
87194e61cffffff,10741.801211655149
87194e61dffffff,10741.517724737694
87194e61effffff,10746.338741123353
87194e633ffffff,958.7174854140566
87194e672ffffff,16.33857502819233
87194e680ffffff,25388.104782372233
87194e681ffffff,25387.448995161838
87194e682ffffff,32321.1052585576
87194e683ffffff,27916.444661464084
87194e684ffffff,18927.788935605593
87194e685ffffff,25377.392974028153
87194e686ffffff,30492.548398883937
87194e688ffffff,39968.02887777261
87194e689ffffff,34784.73758693737
87194e68affffff,44803.26455875053
87194e68bffffff,44802.0675423919
87194e68cffffff,27470.52252496165
87194e68dffffff,27803.58646322312
87194e68effffff,37874.24654624138
87194e690ffffff,30095.767398566102
87194e691ffffff,33142.89493799804
87194e692ffffff,34284.54735542438
87194e693ffffff,39720.16924636031
87194e694ffffff,19131.525910780492
87194e695ffffff,32836.706060850054
87194e696ffffff,18548.343197734364
87194e698ffffff,52285.59202661798
87194e699ffffff,45536.178734885114
87194e69affffff,62914.13067048435
87194e69bffffff,70892.91594655623
87194e69cffffff,33142.041954522
87194e69dffffff,37830.96953848269
87194e69effffff,39275.000114805676
87194e6a1ffffff,14145.81759836164
87194e6a3ffffff,4304.347371366211
87194e6a5ffffff,0.0
87194e6a8ffffff,25661.523782420747
87194e6a9ffffff,27896.48640335159
87194e6aaffffff,25376.736272647948
87194e6abffffff,26036.94790980651
87194e6acffffff,25968.197874995778
87194e6adffffff,18312.161678772347
87194e6aeffffff,25366.68396574009
87194e6b0ffffff,10028.445615969204
87194e6b1ffffff,18453.361616165366
87194e6b2ffffff,18732.639024825086
87194e6b3ffffff,31797.473712118346
87194e6b5ffffff,40.656074540168895
87194e6b6ffffff,13575.550200543476
87194e6c0ffffff,18779.329886704116
87194e6c1ffffff,7288.640905717162
87194e6c2ffffff,18787.261512019344
87194e6c3ffffff,17889.657207287306
87194e6c4ffffff,6123.8998472885
87194e6c5ffffff,9999.087629289526
87194e6c6ffffff,18779.015305242545
87194e6ceffffff,0.0
87194e6d0ffffff,27917.113494595564
87194e6d1ffffff,19137.496018917125
87194e6d2ffffff,28224.7705047232
87194e6d3ffffff,24854.45822059817
87194e6d4ffffff,24449.7152083936
87194e6d5ffffff,22187.799758133042
87194e6d6ffffff,27123.973637630283
87194e6d8ffffff,18802.0727103223
87194e6d9ffffff,11881.705204869351
87194e6daffffff,15953.52102260718
87194e6dbffffff,12194.933374277058
87194e6dcffffff,18794.66849018145
87194e6ddffffff,13113.002326116803
87194e6deffffff,19152.219757449424
87194e6e0ffffff,5953.925505400571
87194e6e2ffffff,10754.266996894097
87194e6e3ffffff,2089.9460457522828
87194e6e4ffffff,8657.625979559907
87194e6e5ffffff,355.3340098516889
87194e6e6ffffff,10750.01879186821
87194e6f0ffffff,24649.148321736255
87194e6f1ffffff,8591.837556814671
87194e6f2ffffff,21483.93930159977
87194e6f3ffffff,15858.877912104372
87194e6f4ffffff,27573.153120889056
87194e6f5ffffff,11240.3687980802
87194e6f6ffffff,27970.66645848371
87195d344ffffff,1845.5939209231349
87195d345ffffff,1094.1887119913135
87195d360ffffff,12295.832315549094
87195d361ffffff,21155.330192122794
87195d362ffffff,12301.009241470487
87195d363ffffff,12675.875826732376
87195d364ffffff,12290.98047179033
87195d365ffffff,18950.272809206683
87195d366ffffff,12296.155628889037
87195d368ffffff,4668.624814265547
87195d369ffffff,1071.526824403823
87195d36affffff,0.0
87195d36cffffff,23964.534560688968
87195d36dffffff,15912.576433079972
87195d36effffff,21399.54206684115
87195d371ffffff,3549.580785483407
87195d375ffffff,4379.52481981319
87195da08ffffff,0.0
87195da09ffffff,15325.960787755379
87195da0bffffff,19330.297047813783
87195da0dffffff,385.06667411960717
87195da40ffffff,20776.916381478233
87195da41ffffff,41136.03346727832
87195da42ffffff,20844.728777104578
87195da43ffffff,26935.75579333103
87195da44ffffff,20768.683851535454
87195da45ffffff,33287.34589743969
87195da46ffffff,20777.43942624617
87195da48ffffff,44071.80228319247
87195da49ffffff,44048.109244768166
87195da4affffff,44336.67086314064
87195da4bffffff,45342.48042107177
87195da4cffffff,44632.945609296046
87195da4dffffff,46305.93125866626
87195da4effffff,44304.33683527888
87195da50ffffff,29235.827167655058
87195da51ffffff,32068.938269593615
87195da52ffffff,24687.51191132935
87195da53ffffff,35874.50777846829
87195da54ffffff,20901.159334425152
87195da55ffffff,21350.862866046056
87195da56ffffff,23825.711079748562
87195da58ffffff,36353.175805941806
87195da59ffffff,50221.082840066585
87195da5affffff,35799.072858495805
87195da5bffffff,34351.830073582816
87195da5cffffff,35641.770177871906
87195da5dffffff,36797.57634880293
87195da5effffff,36434.04298122758
87195da60ffffff,19981.512639242366
87195da61ffffff,36362.7131336727
87195da62ffffff,20760.448329845345
87195da63ffffff,31629.500967416217
87195da64ffffff,18683.824035119185
87195da65ffffff,18556.16692661723
87195da66ffffff,20630.99623098134
87195da68ffffff,58297.314696934794
87195da69ffffff,65512.504770006715
87195da6affffff,54180.505237483376
87195da6bffffff,63427.95244502095
87195da6cffffff,41277.56764702608
87195da6dffffff,60279.65148513812
87195da6effffff,41780.006587147545
87195da70ffffff,20769.7111066462
87195da71ffffff,20769.2008721291
87195da72ffffff,19944.207555786244
87195da73ffffff,20777.955680944633
87195da74ffffff,17828.41386513848
87195da75ffffff,20760.95933368101
87195da76ffffff,11415.384149188496
87195da89ffffff,70.19163765056574
87195da8dffffff,88.97263061720828
87195dac0ffffff,12276.723101619094
87195dac1ffffff,14983.56219508566
87195dac2ffffff,12281.892484808046
87195dac3ffffff,12281.583931107734
87195dac4ffffff,12911.309991524347
87195dac5ffffff,17619.336815550683
87195dac6ffffff,12277.02808749602
87195dac8ffffff,18977.09409382603
87195dac9ffffff,28776.489367455513
87195dacaffffff,12286.126815941467
87195dacbffffff,22267.964631550305
87195daccffffff,28789.876974586554
87195dacdffffff,30686.662730979522
87195daceffffff,17877.51346800466
87195dad0ffffff,1394.837616011843
87195dad1ffffff,5402.8094475527005
87195dad4ffffff,8112.035731040119
87195dad5ffffff,12282.197015492076
87195dad8ffffff,11993.458634448643
87195dad9ffffff,12291.300201657385
87195dadaffffff,14.712740388232488
87195dadbffffff,6716.666111795004
87195dadcffffff,12080.826772440214
87195daddffffff,12286.442966763252
87195dadeffffff,2677.032081042865
87195dae0ffffff,23347.01117628578
87195dae1ffffff,24013.989601376114
87195dae2ffffff,16512.030193865798
87195dae3ffffff,24024.10505896894
87195dae4ffffff,7834.847477907261
87195dae5ffffff,24004.469754821155
87195dae6ffffff,144.47594811092895
87195dae8ffffff,30193.610518301644
87195dae9ffffff,32024.03306458515
87195daeaffffff,27005.886722743973
87195daebffffff,30674.53405682124
87195daecffffff,30338.58047277145
87195daedffffff,36449.396125117324
87195daeeffffff,24023.50597157863
87195daf0ffffff,1124.2937181306334
87195daf1ffffff,12080.40055301036
87195daf2ffffff,6449.600736038341
87195daf3ffffff,11403.7545220446
87195daf5ffffff,170.91705143562984
87195db41ffffff,2176.971033118288
87195db43ffffff,2783.538951873154
87195db48ffffff,18541.435199344116
87195db49ffffff,18540.98137656105
87195db4affffff,18549.25552235186
87195db4bffffff,18548.802386981675
87195db4cffffff,14973.606506194057
87195db4dffffff,18533.616911111872
87195db4effffff,18541.882971836996
87195db58ffffff,11581.798076777764
87195db59ffffff,18777.65960907407
87195db5affffff,2942.0780143107404
87195db5bffffff,20305.80801840435
87195db5cffffff,1447.8188929513235
87195db5dffffff,18468.409200022845
87195db69ffffff,1980.493846033946
87195db6bffffff,10793.091151478659
